,Game,Hours_watched
0,League of Legends,1118435546.0
1,Fortnite,1054128758.0
2,Grand Theft Auto V,578915864.0
3,Dota 2,503022570.0
4,Counter-Strike: Global Offensive,457874735.0
5,World of Warcraft,421573659.0
6,Apex Legends,347320949.0
7,Overwatch,284088177.0
8,Hearthstone,250216025.0
9,PLAYERUNKNOWN'S BATTLEGROUNDS,248315861.0
