,Year,Hours_watched
0,2016,1035469850.0
1,2017,1022398595.0
2,2018,985380685.0
3,2019,1118435546.0
4,2020,1553536532.0
5,2021,1735661105.0
6,2022,1556699612.0
7,2023,126494155.0
