,Game,Hours_watched
0,League of Legends,1553536532.0
1,Fortnite,1066892854.0
2,Grand Theft Auto V,824227402.0
3,VALORANT,814503048.0
4,Call of Duty: Warzone,811380708.0
5,Counter-Strike: Global Offensive,713749581.0
6,Minecraft,510765330.0
7,Dota 2,497151335.0
8,World of Warcraft,453886109.0
9,Among Us,418929842.0
