,Game,Hours_watched
0,League of Legends,1035469850.0
1,Counter-Strike: Global Offensive,526391918.0
2,Dota 2,496585969.0
3,Hearthstone,474016816.0
4,Overwatch,178952454.0
5,World of Warcraft,149529985.0
6,Call of Duty: Black Ops III,123964703.0
7,Minecraft,88988436.0
8,Z1: Battle Royale,87872183.0
9,Destiny,76704872.0
