,Game,Hours_watched
0,League of Legends,1022398595.0
1,PLAYERUNKNOWN'S BATTLEGROUNDS,539829453.0
2,Dota 2,449879503.0
3,Hearthstone,442752554.0
4,Counter-Strike: Global Offensive,419802259.0
5,Overwatch,239726714.0
6,World of Warcraft,134721259.0
7,Grand Theft Auto V,122232186.0
8,Z1: Battle Royale,89752462.0
9,Fortnite,81545448.0
