,Game,Hours_watched
0,Fortnite,1358048914.0
1,League of Legends,985380685.0
2,Dota 2,472414819.0
3,PLAYERUNKNOWN'S BATTLEGROUNDS,454157076.0
4,Counter-Strike: Global Offensive,401775324.0
5,Hearthstone,357611445.0
6,Overwatch,301791389.0
7,World of Warcraft,260234955.0
8,Grand Theft Auto V,147224251.0
9,Call of Duty: Black Ops 4,138898393.0
