,Columna,Feature_importance
0,Hours_Streamed,0.17745053537621258
1,Peak_channels,0.15180225966162297
2,Hours_watched,0.13962383782428553
3,Avg_viewers,0.13691171077657743
4,Streamers,0.13547157218726888
5,Peak_viewers,0.12948883083112459
6,Avg_channels,0.12925125334290813
