,Game,Hours_watched,Prediccion enero 2024:1 seguirá/0 no seguirá,Hours Watched 2024,Diferencia Hours Watched (%)
162,HITMAN World of Assassination,848708.0,0,1217753.0,43.0
163,Hades,840740.0,1,1298165.0,54.0
164,Age of Empires IV,840225.0,1,1106808.0,31.0
165,Detroit: Become Human,834470.0,1,1061461.0,27.0
166,Cyberpunk 2077,833359.0,1,1361761.0,63.0
167,Wrestling Empire,832915.0,0,1008574.0,21.0
168,Lineage 2,827576.0,0,1190300.0,43.0
169,F1 22,825328.0,0,14096742.0,1608.0
170,Dark Souls II,818304.0,1,3707886.0,353.0
171,Resident Evil 2,805366.0,1,1298165.0,61.0
172,Pummel Party,802316.0,0,1069750.0,33.0
173,Hollow Knight,794110.0,1,2039284.0,156.0
174,Satisfactory,792723.0,1,1195163.0,50.0
175,Diablo II: Resurrected,784757.0,1,1075776.0,37.0
176,Metin2,782212.0,1,1298165.0,65.0
177,Heroes of the Storm,779430.0,1,1359889.0,74.0
178,The Stubborn Of WakGood,773867.0,0,860212.0,11.0
179,The Simpsons,765658.0,0,1182049.0,54.0
180,Guild Wars 2,746610.0,0,1190300.0,59.0
181,Dofus,737006.0,1,1075776.0,45.0
182,Cities: Skylines,735405.0,0,1061461.0,44.0
183,Cult of the Lamb,734490.0,0,1279399.0,74.0
184,Paragon: The Overprime,731350.0,1,1304955.0,78.0
185,Slay the Spire,711233.0,1,1106808.0,55.0
186,God of War,707448.0,0,1336800.0,88.0
187,Uno,702080.0,0,832075.0,18.0
188,StarCraft,700063.0,1,1106808.0,58.0
189,Mahjong Soul,699159.0,1,1298165.0,85.0
190,Mobile Legends: Bang Bang,696601.0,1,2752375.0,295.0
191,Star Wars Jedi: Fallen Order,687048.0,1,1470279.0,113.0
192,The Dark Pictures Anthology: The Devil in Me,679793.0,0,1153685.0,69.0
193,PUBG Mobile,678295.0,1,2039284.0,200.0
194,Spelunky 2,667081.0,0,937355.0,40.0
195,Tom Clancy's The Division 2,666943.0,1,1086681.0,62.0
196,Persona 5 Royal,664503.0,1,1122339.0,68.0
197,Bloodborne,663078.0,1,1128712.0,70.0
198,PowerWash Simulator,657644.0,0,901336.0,37.0
199,Eternal Return,642217.0,1,1014189.0,57.0
